user_id,session_id,timestamp,page_url,referrer
1499,6166,2026-02-24 20:23:49.933358,/contact,facebook.com
1534,6138,2026-02-17 05:44:49.933394,/home,facebook.com
1143,6499,2026-02-02 19:13:49.933413,/blog,facebook.com
1868,5883,2026-02-05 21:29:49.933430,/blog,twitter.com
1655,6156,2026-02-21 05:28:49.933447,/product-details,twitter.com
1055,6191,2026-02-11 12:12:49.933464,/home,twitter.com
1619,6937,2026-02-08 13:30:49.933479,/contact,youtube.com
1862,6268,2026-02-11 14:28:49.933494,/contact,facebook.com
1005,5276,2026-02-20 10:50:49.933509,/blog,instagram.com
1541,6998,2026-02-03 19:19:49.933524,/order-confirmation,linkedin.com
1446,5258,2026-02-19 18:08:49.933538,/blog,google.com
1996,5045,2026-02-06 23:25:49.933554,/faq,Direct
1384,5345,2026-02-05 06:24:49.933568,/blog,google.com
1306,5846,2026-02-04 00:37:49.933582,/cart,Direct
1873,5894,2026-02-02 01:01:49.933597,/checkout,twitter.com
1856,6260,2026-02-19 17:00:49.933611,/order-confirmation,facebook.com
1638,6076,2026-02-07 13:15:49.933625,/order-confirmation,google.com
1301,6171,2026-02-13 09:31:49.933640,/faq,email
1632,6722,2026-02-23 09:34:49.933654,/products,twitter.com
1404,6556,2026-02-28 02:02:49.933669,/cart,Direct
1610,6113,2026-02-06 07:26:49.933707,/blog,email
1677,5232,2026-02-11 14:32:49.933730,/about,linkedin.com
1836,6750,2026-02-04 00:52:49.933745,/blog,email
1830,6904,2026-02-25 04:44:49.933759,/order-confirmation,linkedin.com
1752,5050,2026-02-17 13:38:49.933773,/about,google.com
1561,5664,2026-02-15 12:02:49.933788,/blog,google.com
1779,6859,2026-02-24 12:50:49.933804,/cart,google.com
1836,6651,2026-02-02 09:58:49.933819,/blog,google.com
1509,6417,2026-02-22 11:58:49.933833,/product-details,google.com
1072,6237,2026-02-02 22:26:49.933847,/contact,twitter.com
1811,5450,2026-02-20 14:42:49.933862,/product-details,youtube.com
1563,6362,2026-02-02 12:38:49.933876,/product-details,Direct
1264,5350,2026-02-16 01:44:49.933890,/product-details,Direct
1226,5648,2026-02-17 16:52:49.933904,/blog,instagram.com
1192,6308,2026-02-07 08:31:49.933919,/faq,youtube.com
1373,6956,2026-02-16 03:34:49.933933,/product-details,youtube.com
1750,5877,2026-02-16 19:28:49.933947,/order-confirmation,facebook.com
1009,5582,2026-02-06 03:11:49.933982,/cart,linkedin.com
1301,5244,2026-02-03 01:07:49.933999,/products,google.com
1358,5549,2026-03-03 09:43:49.934013,/product-details,linkedin.com
1739,5727,2026-02-08 15:08:49.934028,/checkout,Direct
1953,5638,2026-02-23 16:41:49.934044,/faq,facebook.com
1804,5583,2026-02-12 23:44:49.934058,/cart,facebook.com
1051,5225,2026-03-01 13:19:49.934072,/checkout,twitter.com
1751,5826,2026-02-05 11:10:49.934087,/home,google.com
1098,5440,2026-02-25 07:24:49.934101,/cart,instagram.com
1592,6497,2026-02-25 07:44:49.934115,/faq,facebook.com
1012,6467,2026-02-20 14:19:49.934129,/product-details,twitter.com
1389,6819,2026-02-15 17:29:49.934143,/products,google.com
1953,5411,2026-02-01 16:15:49.934157,/about,Direct
1356,5813,2026-03-01 04:12:49.934170,/faq,email
1639,5245,2026-02-10 13:51:49.934182,/blog,instagram.com
1815,5582,2026-03-01 11:05:49.934193,/home,google.com
1927,6730,2026-02-18 13:51:49.934205,/about,twitter.com
1010,5499,2026-02-26 17:38:49.934216,/home,linkedin.com
1080,5981,2026-02-25 07:37:49.934227,/checkout,twitter.com
1260,6974,2026-02-17 05:52:49.934239,/home,twitter.com
1005,5549,2026-02-18 21:20:49.934251,/product-details,email
1457,5116,2026-02-24 23:00:49.934262,/contact,twitter.com
1372,6773,2026-02-03 12:22:49.934273,/cart,twitter.com
1480,6387,2026-02-26 17:13:49.934285,/home,instagram.com
1221,6937,2026-02-19 01:09:49.934296,/home,facebook.com
1916,5203,2026-02-03 12:39:49.934307,/contact,youtube.com
1809,5350,2026-02-24 21:30:49.934319,/contact,facebook.com
1080,5318,2026-02-04 14:10:49.934330,/cart,youtube.com
1922,6382,2026-02-18 19:46:49.934342,/cart,Direct
1514,6540,2026-02-04 04:08:49.934353,/faq,youtube.com
1059,5939,2026-02-12 04:54:49.934365,/products,facebook.com
1220,5488,2026-02-09 09:19:49.934376,/products,twitter.com
1961,6692,2026-03-02 20:39:49.934388,/order-confirmation,facebook.com
1348,5106,2026-02-23 13:13:49.934399,/contact,youtube.com
1560,6763,2026-02-26 08:25:49.934410,/about,linkedin.com
1227,5653,2026-02-23 11:19:49.934422,/about,youtube.com
1289,6849,2026-02-13 06:08:49.934433,/product-details,linkedin.com
1292,5171,2026-02-08 00:53:49.934445,/products,facebook.com
1809,6681,2026-02-09 16:11:49.934456,/faq,twitter.com
1192,5518,2026-02-11 23:03:49.934467,/about,youtube.com
1955,6878,2026-02-05 20:40:49.934481,/cart,instagram.com
1473,6888,2026-02-02 09:50:49.934492,/home,twitter.com
1256,5957,2026-02-28 23:15:49.934504,/home,facebook.com
1954,5812,2026-02-14 16:35:49.934515,/cart,facebook.com
1505,5527,2026-02-04 23:50:49.934526,/checkout,Direct
1387,5319,2026-03-01 18:29:49.934538,/checkout,email
1614,6060,2026-02-27 15:51:49.934549,/home,twitter.com
1397,5498,2026-02-13 13:59:49.934561,/product-details,email
1365,6688,2026-02-20 10:20:49.934572,/order-confirmation,Direct
1657,5264,2026-02-09 11:57:49.934583,/faq,Direct
1289,6718,2026-02-20 15:53:49.934595,/about,google.com
1768,6691,2026-02-15 10:28:49.934606,/home,linkedin.com
1308,6672,2026-02-26 20:18:49.934623,/contact,Direct
1277,5907,2026-02-25 18:41:49.934634,/cart,linkedin.com
1463,5401,2026-02-16 00:19:49.934645,/blog,facebook.com
1188,5986,2026-02-23 10:36:49.934657,/order-confirmation,youtube.com
1917,5601,2026-02-03 13:32:49.934669,/home,facebook.com
1177,5951,2026-02-04 12:33:49.934681,/products,google.com
1527,5217,2026-02-06 13:33:49.934692,/product-details,google.com
1923,5329,2026-02-12 09:00:49.934703,/products,youtube.com
1987,5185,2026-02-23 15:12:49.934715,/faq,twitter.com
1374,6404,2026-02-24 22:12:49.934726,/about,youtube.com
1597,5208,2026-03-03 05:24:49.934737,/home,google.com
1759,6586,2026-02-06 22:29:49.934749,/blog,instagram.com
1453,5287,2026-02-02 06:17:49.934760,/products,facebook.com
1216,5087,2026-02-25 00:26:49.934771,/cart,facebook.com
1041,6002,2026-02-15 19:52:49.934783,/contact,linkedin.com
1193,6967,2026-02-15 14:51:49.934794,/product-details,google.com
1326,5135,2026-02-16 04:47:49.934805,/blog,linkedin.com
1372,5157,2026-02-26 17:43:49.934817,/about,google.com
1464,5793,2026-02-23 13:33:49.934828,/faq,facebook.com
1162,5919,2026-02-16 00:49:49.934840,/product-details,google.com
1275,5154,2026-02-11 15:58:49.934852,/product-details,email
1363,6486,2026-02-08 15:28:49.934863,/checkout,twitter.com
1641,5219,2026-02-12 05:03:49.934875,/checkout,google.com
1774,6482,2026-02-24 12:14:49.934886,/faq,google.com
1479,6190,2026-02-23 20:17:49.934897,/checkout,youtube.com
1688,5321,2026-02-16 13:27:49.934909,/blog,twitter.com
1978,5690,2026-02-02 22:06:49.934920,/blog,twitter.com
1459,5840,2026-02-14 13:58:49.934931,/order-confirmation,twitter.com
1264,6585,2026-03-01 00:11:49.934943,/about,linkedin.com
1538,6836,2026-02-28 15:48:49.934954,/faq,facebook.com
1973,5511,2026-03-03 02:31:49.934966,/contact,youtube.com
1385,5086,2026-02-15 19:56:49.934977,/blog,google.com
1084,6568,2026-02-24 09:49:49.934989,/order-confirmation,twitter.com
1707,5274,2026-02-15 15:04:49.935000,/contact,twitter.com
1315,5140,2026-02-19 21:30:49.935012,/products,facebook.com
1242,6741,2026-02-08 18:06:49.935023,/faq,instagram.com
1468,6759,2026-02-02 10:14:49.935034,/contact,google.com
1879,5624,2026-02-18 20:58:49.935045,/products,instagram.com
1341,6813,2026-02-24 14:31:49.935057,/contact,instagram.com
1176,5915,2026-02-02 15:24:49.935068,/products,twitter.com
1129,5352,2026-02-17 15:47:49.935080,/product-details,email
1656,6028,2026-02-04 00:33:49.935091,/about,linkedin.com
1082,5381,2026-02-28 13:03:49.935102,/blog,facebook.com
1359,6747,2026-02-15 04:24:49.935114,/product-details,google.com
1087,6791,2026-02-02 01:59:49.935125,/checkout,google.com
1531,6357,2026-02-26 12:52:49.935136,/blog,google.com
1741,5474,2026-02-23 11:28:49.935148,/about,linkedin.com
1971,5927,2026-02-02 23:06:49.935159,/products,instagram.com
1984,5029,2026-02-11 12:52:49.935170,/checkout,Direct
1637,6370,2026-03-02 20:31:49.935182,/checkout,facebook.com
1470,5921,2026-02-09 15:49:49.935193,/blog,Direct
1497,5593,2026-02-14 06:21:49.935205,/products,instagram.com
1506,5492,2026-02-10 13:12:49.935216,/home,twitter.com
1353,6771,2026-02-17 16:02:49.935227,/cart,Direct
1415,5494,2026-02-16 18:29:49.935238,/cart,email
1050,6879,2026-03-02 06:50:49.935250,/home,Direct
1599,5387,2026-02-05 23:12:49.935261,/faq,facebook.com
1681,5872,2026-03-03 07:09:49.935272,/about,instagram.com
1062,5834,2026-02-10 00:13:49.935283,/products,facebook.com
1088,6276,2026-02-03 05:57:49.935295,/blog,twitter.com
1700,5629,2026-02-06 13:02:49.935307,/about,linkedin.com
1189,5938,2026-02-06 16:39:49.935318,/about,linkedin.com
1898,5029,2026-02-04 08:55:49.935330,/home,email
1600,5622,2026-02-28 03:32:49.935341,/blog,linkedin.com
1347,6935,2026-03-03 08:06:49.935352,/faq,google.com
1843,6789,2026-02-16 02:40:49.935363,/blog,linkedin.com
1537,6734,2026-02-12 17:37:49.935375,/products,email
1175,5806,2026-02-04 14:50:49.935386,/faq,youtube.com
1363,5341,2026-02-08 18:01:49.935397,/blog,linkedin.com
1775,6832,2026-02-06 17:54:49.935409,/products,instagram.com
1900,6310,2026-02-05 18:03:49.935420,/products,youtube.com
1906,6968,2026-02-12 06:46:49.935431,/contact,email
1553,6420,2026-02-16 18:09:49.935442,/product-details,linkedin.com
1482,6000,2026-02-04 11:19:49.935454,/product-details,linkedin.com
1986,6532,2026-02-23 18:52:49.935465,/about,twitter.com
1118,6960,2026-02-20 04:47:49.935476,/faq,twitter.com
1168,5243,2026-02-25 12:46:49.935488,/order-confirmation,Direct
1619,5220,2026-02-18 20:22:49.935499,/about,youtube.com
1997,6179,2026-02-17 12:57:49.935510,/order-confirmation,email
1146,6406,2026-02-23 20:36:49.935522,/blog,facebook.com
1687,6771,2026-02-18 21:52:49.935533,/products,Direct
1436,6343,2026-02-21 21:35:49.935544,/contact,Direct
1438,5372,2026-02-07 21:24:49.935556,/order-confirmation,google.com
1887,5530,2026-02-05 17:26:49.935567,/cart,facebook.com
1188,5214,2026-02-26 19:29:49.935581,/order-confirmation,google.com
1159,5366,2026-02-23 03:59:49.935592,/order-confirmation,linkedin.com
1813,5113,2026-03-03 15:05:49.935607,/faq,email
1859,6223,2026-03-01 18:04:49.935620,/product-details,twitter.com
1931,5024,2026-02-07 08:07:49.935632,/contact,linkedin.com
1401,5933,2026-02-11 15:36:49.935644,/checkout,google.com
